sample_type	sampleID	ADRA1A
Primary Tumor	TCGA-2A-A8VL-01	4.7958
Primary Tumor	TCGA-2A-A8VO-01	4.8537
Primary Tumor	TCGA-2A-A8VT-01	3.3493
Primary Tumor	TCGA-2A-A8VV-01	5.6287
Primary Tumor	TCGA-2A-A8VX-01	5.0331
Primary Tumor	TCGA-2A-A8W1-01	0.558
Primary Tumor	TCGA-2A-A8W3-01	3.9746
Primary Tumor	TCGA-2A-AAYF-01	4.528
Primary Tumor	TCGA-2A-AAYO-01	5.2763
Primary Tumor	TCGA-2A-AAYU-01	5.9917
Primary Tumor	TCGA-4L-AA1F-01	3.3961
Primary Tumor	TCGA-CH-5737-01	2.8029
Primary Tumor	TCGA-CH-5738-01	5.2056
Primary Tumor	TCGA-CH-5739-01	5.8035
Primary Tumor	TCGA-CH-5740-01	3.2624
Primary Tumor	TCGA-CH-5741-01	2.1993
Primary Tumor	TCGA-CH-5743-01	5.6836
Primary Tumor	TCGA-CH-5744-01	3.2904
Primary Tumor	TCGA-CH-5745-01	4.6524
Primary Tumor	TCGA-CH-5746-01	4.8323
Primary Tumor	TCGA-CH-5748-01	4.7693
Primary Tumor	TCGA-CH-5750-01	2.6025
Primary Tumor	TCGA-CH-5751-01	2.8541
Primary Tumor	TCGA-CH-5752-01	4.2273
Primary Tumor	TCGA-CH-5753-01	3.2173
Primary Tumor	TCGA-CH-5754-01	5.1725
Primary Tumor	TCGA-CH-5761-01	4.2468
Solid Tissue Normal	TCGA-CH-5761-11	5.7942
Primary Tumor	TCGA-CH-5762-01	7.1736
Primary Tumor	TCGA-CH-5763-01	6.9702
Primary Tumor	TCGA-CH-5764-01	5.5438
Primary Tumor	TCGA-CH-5765-01	5.5709
Primary Tumor	TCGA-CH-5766-01	3.4608
Primary Tumor	TCGA-CH-5767-01	5.3347
Solid Tissue Normal	TCGA-CH-5767-11	6.2451
Primary Tumor	TCGA-CH-5768-01	3.7874
Solid Tissue Normal	TCGA-CH-5768-11	5.3929
Primary Tumor	TCGA-CH-5769-01	5.1135
Solid Tissue Normal	TCGA-CH-5769-11	4.6694
Primary Tumor	TCGA-CH-5771-01	5.9574
Primary Tumor	TCGA-CH-5772-01	4.3759
Primary Tumor	TCGA-CH-5788-01	1.2887
Primary Tumor	TCGA-CH-5789-01	6.4654
Primary Tumor	TCGA-CH-5790-01	3.5705
Primary Tumor	TCGA-CH-5791-01	2.6156
Primary Tumor	TCGA-CH-5792-01	5.3814
Primary Tumor	TCGA-CH-5794-01	4.2885
Primary Tumor	TCGA-EJ-5494-01	4.6192
Primary Tumor	TCGA-EJ-5495-01	7.0894
Primary Tumor	TCGA-EJ-5496-01	4.3671
Primary Tumor	TCGA-EJ-5497-01	5.6423
Primary Tumor	TCGA-EJ-5498-01	6.8339
Primary Tumor	TCGA-EJ-5499-01	5.0938
Primary Tumor	TCGA-EJ-5501-01	5.5033
Primary Tumor	TCGA-EJ-5502-01	6.2152
Primary Tumor	TCGA-EJ-5503-01	6.0972
Primary Tumor	TCGA-EJ-5504-01	5.9142
Primary Tumor	TCGA-EJ-5505-01	5.3576
Primary Tumor	TCGA-EJ-5506-01	5.1015
Primary Tumor	TCGA-EJ-5507-01	4.7506
Primary Tumor	TCGA-EJ-5508-01	6.2219
Primary Tumor	TCGA-EJ-5509-01	5.7726
Primary Tumor	TCGA-EJ-5510-01	5.5819
Primary Tumor	TCGA-EJ-5511-01	6.6536
Primary Tumor	TCGA-EJ-5512-01	6.482
Primary Tumor	TCGA-EJ-5514-01	4.9318
Primary Tumor	TCGA-EJ-5515-01	6.5899
Primary Tumor	TCGA-EJ-5516-01	5.0039
Primary Tumor	TCGA-EJ-5517-01	6.8452
Primary Tumor	TCGA-EJ-5518-01	5.4155
Primary Tumor	TCGA-EJ-5519-01	4.6419
Primary Tumor	TCGA-EJ-5521-01	5.1024
Primary Tumor	TCGA-EJ-5522-01	5.1777
Primary Tumor	TCGA-EJ-5524-01	5.352
Primary Tumor	TCGA-EJ-5525-01	3.6205
Primary Tumor	TCGA-EJ-5526-01	5.7081
Primary Tumor	TCGA-EJ-5527-01	5.2322
Primary Tumor	TCGA-EJ-5530-01	5.8142
Primary Tumor	TCGA-EJ-5531-01	6.3583
Primary Tumor	TCGA-EJ-5532-01	6.3109
Primary Tumor	TCGA-EJ-5542-01	5.1874
Primary Tumor	TCGA-EJ-7115-01	5.7201
Solid Tissue Normal	TCGA-EJ-7115-11	6.711
Primary Tumor	TCGA-EJ-7123-01	4.6367
Solid Tissue Normal	TCGA-EJ-7123-11	9.9416
Primary Tumor	TCGA-EJ-7125-01	6.563
Solid Tissue Normal	TCGA-EJ-7125-11	6.6274
Primary Tumor	TCGA-EJ-7218-01	4.4112
Primary Tumor	TCGA-EJ-7312-01	3.0693
Primary Tumor	TCGA-EJ-7314-01	4.0612
Solid Tissue Normal	TCGA-EJ-7314-11	8.3229
Primary Tumor	TCGA-EJ-7315-01	4.8453
Solid Tissue Normal	TCGA-EJ-7315-11	7.9092
Primary Tumor	TCGA-EJ-7317-01	5.5203
Solid Tissue Normal	TCGA-EJ-7317-11	6.5745
Primary Tumor	TCGA-EJ-7318-01	4.5579
Primary Tumor	TCGA-EJ-7321-01	3.482
Solid Tissue Normal	TCGA-EJ-7321-11	6.737
Primary Tumor	TCGA-EJ-7325-01	2.5865
Primary Tumor	TCGA-EJ-7327-01	5.7338
Solid Tissue Normal	TCGA-EJ-7327-11	5.3914
Primary Tumor	TCGA-EJ-7328-01	5.4791
Solid Tissue Normal	TCGA-EJ-7328-11	8.911
Primary Tumor	TCGA-EJ-7330-01	6.5874
Solid Tissue Normal	TCGA-EJ-7330-11	8.0212
Primary Tumor	TCGA-EJ-7331-01	7.4463
Solid Tissue Normal	TCGA-EJ-7331-11	8.0921
Primary Tumor	TCGA-EJ-7781-01	6.2202
Solid Tissue Normal	TCGA-EJ-7781-11	8.8216
Primary Tumor	TCGA-EJ-7782-01	5.3596
Solid Tissue Normal	TCGA-EJ-7782-11	5.3576
Primary Tumor	TCGA-EJ-7783-01	6.474
Solid Tissue Normal	TCGA-EJ-7783-11	8.2506
Primary Tumor	TCGA-EJ-7784-01	4.6692
Solid Tissue Normal	TCGA-EJ-7784-11	6.2848
Primary Tumor	TCGA-EJ-7785-01	7.7237
Solid Tissue Normal	TCGA-EJ-7785-11	8.0549
Primary Tumor	TCGA-EJ-7786-01	7.0396
Solid Tissue Normal	TCGA-EJ-7786-11	8.4205
Primary Tumor	TCGA-EJ-7788-01	5.7081
Primary Tumor	TCGA-EJ-7789-01	1.8266
Solid Tissue Normal	TCGA-EJ-7789-11	5.4105
Primary Tumor	TCGA-EJ-7791-01	7.6764
Primary Tumor	TCGA-EJ-7792-01	8.3246
Solid Tissue Normal	TCGA-EJ-7792-11	7.8618
Primary Tumor	TCGA-EJ-7793-01	6.0714
Solid Tissue Normal	TCGA-EJ-7793-11	7.357
Primary Tumor	TCGA-EJ-7794-01	6.2809
Solid Tissue Normal	TCGA-EJ-7794-11	6.954
Primary Tumor	TCGA-EJ-7797-01	5.0548
Solid Tissue Normal	TCGA-EJ-7797-11	7.4379
Primary Tumor	TCGA-EJ-8468-01	5.1392
Primary Tumor	TCGA-EJ-8469-01	3.8749
Primary Tumor	TCGA-EJ-8470-01	3.3939
Primary Tumor	TCGA-EJ-8472-01	5.3328
Primary Tumor	TCGA-EJ-8474-01	5.8363
Primary Tumor	TCGA-EJ-A46B-01	5.9863
Primary Tumor	TCGA-EJ-A46D-01	5.591
Primary Tumor	TCGA-EJ-A46E-01	4.5359
Primary Tumor	TCGA-EJ-A46F-01	0
Primary Tumor	TCGA-EJ-A46G-01	4.3235
Primary Tumor	TCGA-EJ-A46H-01	7.5557
Primary Tumor	TCGA-EJ-A46I-01	6.2758
Primary Tumor	TCGA-EJ-A65B-01	4.3049
Primary Tumor	TCGA-EJ-A65D-01	0.5077
Primary Tumor	TCGA-EJ-A65E-01	3.3809
Primary Tumor	TCGA-EJ-A65F-01	3.1182
Primary Tumor	TCGA-EJ-A65G-01	5.0877
Primary Tumor	TCGA-EJ-A65J-01	2.0252
Primary Tumor	TCGA-EJ-A65M-01	3.0493
Primary Tumor	TCGA-EJ-A6RA-01	4.0068
Primary Tumor	TCGA-EJ-A6RC-01	6.9398
Primary Tumor	TCGA-EJ-A7NF-01	4.0037
Primary Tumor	TCGA-EJ-A7NG-01	7.2039
Primary Tumor	TCGA-EJ-A7NH-01	5.8555
Primary Tumor	TCGA-EJ-A7NJ-01	4.9239
Primary Tumor	TCGA-EJ-A7NK-01	6.3362
Primary Tumor	TCGA-EJ-A7NM-01	3.8304
Primary Tumor	TCGA-EJ-A7NN-01	4.9134
Primary Tumor	TCGA-EJ-A8FN-01	5.8356
Primary Tumor	TCGA-EJ-A8FO-01	5.8191
Solid Tissue Normal	TCGA-EJ-A8FO-11	7.0335
Primary Tumor	TCGA-EJ-A8FP-01	6.3689
Primary Tumor	TCGA-EJ-A8FS-01	0.8597
Primary Tumor	TCGA-EJ-A8FU-01	6.5908
Primary Tumor	TCGA-EJ-AB20-01	7.684
Primary Tumor	TCGA-EJ-AB27-01	6.3615
Primary Tumor	TCGA-FC-7708-01	6.6469
Primary Tumor	TCGA-FC-7961-01	4.9001
Primary Tumor	TCGA-FC-A4JI-01	0
Primary Tumor	TCGA-FC-A5OB-01	1.5277
Primary Tumor	TCGA-FC-A66V-01	4.2053
Primary Tumor	TCGA-FC-A6HD-01	2.0695
Primary Tumor	TCGA-FC-A8O0-01	5.4979
Primary Tumor	TCGA-G9-6329-01	6.4327
Primary Tumor	TCGA-G9-6332-01	2.5432
Primary Tumor	TCGA-G9-6333-01	4.7082
Solid Tissue Normal	TCGA-G9-6333-11	6.778
Primary Tumor	TCGA-G9-6336-01	3.6594
Primary Tumor	TCGA-G9-6338-01	3.7859
Primary Tumor	TCGA-G9-6339-01	3.5039
Primary Tumor	TCGA-G9-6342-01	5.2774
Solid Tissue Normal	TCGA-G9-6342-11	5.1336
Primary Tumor	TCGA-G9-6343-01	5.1651
Primary Tumor	TCGA-G9-6347-01	5.973
Primary Tumor	TCGA-G9-6348-01	4.9135
Solid Tissue Normal	TCGA-G9-6348-11	7.8293
Primary Tumor	TCGA-G9-6351-01	5.267
Solid Tissue Normal	TCGA-G9-6351-11	6.55
Primary Tumor	TCGA-G9-6353-01	6.6823
Primary Tumor	TCGA-G9-6354-01	3.7564
Primary Tumor	TCGA-G9-6356-01	4.9925
Solid Tissue Normal	TCGA-G9-6356-11	1.0496
Primary Tumor	TCGA-G9-6361-01	6.3083
Primary Tumor	TCGA-G9-6362-01	0.726
Solid Tissue Normal	TCGA-G9-6362-11	4.6221
Primary Tumor	TCGA-G9-6363-01	5.4648
Solid Tissue Normal	TCGA-G9-6363-11	6.3258
Primary Tumor	TCGA-G9-6364-01	6.5209
Primary Tumor	TCGA-G9-6365-01	7.1348
Solid Tissue Normal	TCGA-G9-6365-11	5.2127
Primary Tumor	TCGA-G9-6366-01	3.5319
Primary Tumor	TCGA-G9-6367-01	6.9033
Primary Tumor	TCGA-G9-6369-01	3.978
Primary Tumor	TCGA-G9-6370-01	6.3633
Primary Tumor	TCGA-G9-6371-01	5.6345
Primary Tumor	TCGA-G9-6373-01	4.7747
Primary Tumor	TCGA-G9-6377-01	3.9301
Primary Tumor	TCGA-G9-6378-01	6.8357
Primary Tumor	TCGA-G9-6379-01	4.1936
Primary Tumor	TCGA-G9-6384-01	6.2557
Solid Tissue Normal	TCGA-G9-6384-11	7.3029
Primary Tumor	TCGA-G9-6385-01	6.6296
Primary Tumor	TCGA-G9-6494-01	5.4351
Primary Tumor	TCGA-G9-6496-01	3.5578
Solid Tissue Normal	TCGA-G9-6496-11	6.631
Primary Tumor	TCGA-G9-6498-01	4.7301
Primary Tumor	TCGA-G9-6499-01	5.0819
Solid Tissue Normal	TCGA-G9-6499-11	7.151
Primary Tumor	TCGA-G9-7509-01	6.0074
Primary Tumor	TCGA-G9-7510-01	5.603
Primary Tumor	TCGA-G9-7519-01	5.7953
Primary Tumor	TCGA-G9-7521-01	4.4653
Primary Tumor	TCGA-G9-7522-01	6.2889
Primary Tumor	TCGA-G9-7523-01	7.1909
Primary Tumor	TCGA-G9-7525-01	4.4357
Primary Tumor	TCGA-G9-A9S0-01	2.0972
Primary Tumor	TCGA-G9-A9S4-01	3.2584
Primary Tumor	TCGA-G9-A9S7-01	1.787
Primary Tumor	TCGA-H9-7775-01	5.5164
Primary Tumor	TCGA-H9-A6BX-01	7.8464
Primary Tumor	TCGA-H9-A6BY-01	3.9232
Primary Tumor	TCGA-HC-7075-01	4.5229
Primary Tumor	TCGA-HC-7077-01	2.65
Primary Tumor	TCGA-HC-7078-01	3.5778
Primary Tumor	TCGA-HC-7079-01	4.9772
Primary Tumor	TCGA-HC-7080-01	2.0598
Primary Tumor	TCGA-HC-7081-01	5.9291
Primary Tumor	TCGA-HC-7209-01	3.8241
Primary Tumor	TCGA-HC-7210-01	5.2533
Primary Tumor	TCGA-HC-7211-01	4.106
Solid Tissue Normal	TCGA-HC-7211-11	5.6581
Primary Tumor	TCGA-HC-7212-01	3.4822
Primary Tumor	TCGA-HC-7213-01	2.8185
Primary Tumor	TCGA-HC-7230-01	4.6623
Primary Tumor	TCGA-HC-7231-01	3.3804
Primary Tumor	TCGA-HC-7232-01	5.8779
Primary Tumor	TCGA-HC-7233-01	5.9702
Primary Tumor	TCGA-HC-7736-01	5.2611
Primary Tumor	TCGA-HC-7737-01	4.8607
Solid Tissue Normal	TCGA-HC-7737-11	7.0113
Primary Tumor	TCGA-HC-7738-01	5.6684
Solid Tissue Normal	TCGA-HC-7738-11	8.2595
Primary Tumor	TCGA-HC-7740-01	6.9529
Solid Tissue Normal	TCGA-HC-7740-11	6.8774
Primary Tumor	TCGA-HC-7742-01	6.7134
Solid Tissue Normal	TCGA-HC-7742-11	7.0126
Primary Tumor	TCGA-HC-7744-01	4.3561
Primary Tumor	TCGA-HC-7745-01	5.0992
Solid Tissue Normal	TCGA-HC-7745-11	8.4973
Primary Tumor	TCGA-HC-7747-01	4.2617
Solid Tissue Normal	TCGA-HC-7747-11	7.3216
Primary Tumor	TCGA-HC-7748-01	5.9379
Primary Tumor	TCGA-HC-7749-01	4.7967
Primary Tumor	TCGA-HC-7750-01	7.4241
Primary Tumor	TCGA-HC-7752-01	3.1944
Solid Tissue Normal	TCGA-HC-7752-11	7.8324
Primary Tumor	TCGA-HC-7817-01	4.6142
Primary Tumor	TCGA-HC-7818-01	5.6771
Primary Tumor	TCGA-HC-7819-01	4.1559
Solid Tissue Normal	TCGA-HC-7819-11	7.7965
Primary Tumor	TCGA-HC-7820-01	4.9844
Primary Tumor	TCGA-HC-7821-01	4.2144
Primary Tumor	TCGA-HC-8213-01	0.9932
Primary Tumor	TCGA-HC-8216-01	3.4504
Primary Tumor	TCGA-HC-8256-01	4.3228
Primary Tumor	TCGA-HC-8257-01	3.7098
Primary Tumor	TCGA-HC-8258-01	4.8618
Solid Tissue Normal	TCGA-HC-8258-11	6.4369
Primary Tumor	TCGA-HC-8259-01	6.3849
Solid Tissue Normal	TCGA-HC-8259-11	7.3811
Primary Tumor	TCGA-HC-8260-01	4.7109
Solid Tissue Normal	TCGA-HC-8260-11	6.8339
Primary Tumor	TCGA-HC-8261-01	4.3346
Primary Tumor	TCGA-HC-8262-01	4.1515
Solid Tissue Normal	TCGA-HC-8262-11	6.117
Primary Tumor	TCGA-HC-8264-01	6.9878
Primary Tumor	TCGA-HC-8265-01	4.1205
Primary Tumor	TCGA-HC-8266-01	5.3984
