sample_type	sampleID	AQP3
Primary Tumor	TCGA-2A-A8VL-01	11.8506
Primary Tumor	TCGA-2A-A8VO-01	10.9902
Primary Tumor	TCGA-2A-A8VT-01	9.681
Primary Tumor	TCGA-2A-A8VV-01	11.273
Primary Tumor	TCGA-2A-A8VX-01	12.0464
Primary Tumor	TCGA-2A-A8W1-01	12.5297
Primary Tumor	TCGA-2A-A8W3-01	10.0326
Primary Tumor	TCGA-2A-AAYF-01	10.5011
Primary Tumor	TCGA-2A-AAYO-01	10.559
Primary Tumor	TCGA-2A-AAYU-01	11.1612
Primary Tumor	TCGA-4L-AA1F-01	10.0509
Primary Tumor	TCGA-CH-5737-01	11.3232
Primary Tumor	TCGA-CH-5738-01	11.711
Primary Tumor	TCGA-CH-5739-01	10.4488
Primary Tumor	TCGA-CH-5740-01	9.9612
Primary Tumor	TCGA-CH-5741-01	11.5222
Primary Tumor	TCGA-CH-5743-01	12.6932
Primary Tumor	TCGA-CH-5744-01	10.9827
Primary Tumor	TCGA-CH-5745-01	12.1664
Primary Tumor	TCGA-CH-5746-01	11.3881
Primary Tumor	TCGA-CH-5748-01	11.5875
Primary Tumor	TCGA-CH-5750-01	11.6114
Primary Tumor	TCGA-CH-5751-01	11.7059
Primary Tumor	TCGA-CH-5752-01	5.7076
Primary Tumor	TCGA-CH-5753-01	12.1574
Primary Tumor	TCGA-CH-5754-01	11.1277
Primary Tumor	TCGA-CH-5761-01	10.6463
Solid Tissue Normal	TCGA-CH-5761-11	12.5728
Primary Tumor	TCGA-CH-5762-01	11.0201
Primary Tumor	TCGA-CH-5763-01	13.3965
Primary Tumor	TCGA-CH-5764-01	10.4586
Primary Tumor	TCGA-CH-5765-01	10.6426
Primary Tumor	TCGA-CH-5766-01	11.7712
Primary Tumor	TCGA-CH-5767-01	12.7624
Solid Tissue Normal	TCGA-CH-5767-11	13.5914
Primary Tumor	TCGA-CH-5768-01	9.4104
Solid Tissue Normal	TCGA-CH-5768-11	12.8483
Primary Tumor	TCGA-CH-5769-01	11.7275
Solid Tissue Normal	TCGA-CH-5769-11	11.7398
Primary Tumor	TCGA-CH-5771-01	12.6563
Primary Tumor	TCGA-CH-5772-01	10.1195
Primary Tumor	TCGA-CH-5788-01	10.7641
Primary Tumor	TCGA-CH-5789-01	12.4972
Primary Tumor	TCGA-CH-5790-01	10.8546
Primary Tumor	TCGA-CH-5791-01	11.2446
Primary Tumor	TCGA-CH-5792-01	11.4672
Primary Tumor	TCGA-CH-5794-01	10.4332
Primary Tumor	TCGA-EJ-5494-01	10.94
Primary Tumor	TCGA-EJ-5495-01	10.1484
Primary Tumor	TCGA-EJ-5496-01	10.5139
Primary Tumor	TCGA-EJ-5497-01	10.8094
Primary Tumor	TCGA-EJ-5498-01	12.4557
Primary Tumor	TCGA-EJ-5499-01	11.7165
Primary Tumor	TCGA-EJ-5501-01	10.7825
Primary Tumor	TCGA-EJ-5502-01	11.9131
Primary Tumor	TCGA-EJ-5503-01	12.5887
Primary Tumor	TCGA-EJ-5504-01	11.4706
Primary Tumor	TCGA-EJ-5505-01	11.6651
Primary Tumor	TCGA-EJ-5506-01	12.797
Primary Tumor	TCGA-EJ-5507-01	9.2292
Primary Tumor	TCGA-EJ-5508-01	10.9916
Primary Tumor	TCGA-EJ-5509-01	12.1304
Primary Tumor	TCGA-EJ-5510-01	12.0747
Primary Tumor	TCGA-EJ-5511-01	12.0939
Primary Tumor	TCGA-EJ-5512-01	11.1618
Primary Tumor	TCGA-EJ-5514-01	12.6218
Primary Tumor	TCGA-EJ-5515-01	11.7351
Primary Tumor	TCGA-EJ-5516-01	9.7841
Primary Tumor	TCGA-EJ-5517-01	10.7851
Primary Tumor	TCGA-EJ-5518-01	11.381
Primary Tumor	TCGA-EJ-5519-01	11.39
Primary Tumor	TCGA-EJ-5521-01	12.005
Primary Tumor	TCGA-EJ-5522-01	10.6613
Primary Tumor	TCGA-EJ-5524-01	9.969
Primary Tumor	TCGA-EJ-5525-01	12.5219
Primary Tumor	TCGA-EJ-5526-01	11.6632
Primary Tumor	TCGA-EJ-5527-01	11.2375
Primary Tumor	TCGA-EJ-5530-01	11.1597
Primary Tumor	TCGA-EJ-5531-01	11.4188
Primary Tumor	TCGA-EJ-5532-01	9.6285
Primary Tumor	TCGA-EJ-5542-01	10.7278
Primary Tumor	TCGA-EJ-7115-01	11.7452
Solid Tissue Normal	TCGA-EJ-7115-11	12.5076
Primary Tumor	TCGA-EJ-7123-01	10.7935
Solid Tissue Normal	TCGA-EJ-7123-11	10.2451
Primary Tumor	TCGA-EJ-7125-01	8.8967
Solid Tissue Normal	TCGA-EJ-7125-11	12.4382
Primary Tumor	TCGA-EJ-7218-01	10.9565
Primary Tumor	TCGA-EJ-7312-01	9.9412
Primary Tumor	TCGA-EJ-7314-01	10.8508
Solid Tissue Normal	TCGA-EJ-7314-11	11.9696
Primary Tumor	TCGA-EJ-7315-01	10.4337
Solid Tissue Normal	TCGA-EJ-7315-11	11.2658
Primary Tumor	TCGA-EJ-7317-01	10.5406
