sample_type	sampleID	CMA1
Primary Tumor	TCGA-2A-A8VL-01	1.8378
Primary Tumor	TCGA-2A-A8VO-01	2.6592
Primary Tumor	TCGA-2A-A8VT-01	0
Primary Tumor	TCGA-2A-A8VV-01	1.5274
Primary Tumor	TCGA-2A-A8VX-01	1.5923
Primary Tumor	TCGA-2A-A8W1-01	0
Primary Tumor	TCGA-2A-A8W3-01	0.8622
Primary Tumor	TCGA-2A-AAYF-01	0
Primary Tumor	TCGA-2A-AAYO-01	5.6064
Primary Tumor	TCGA-2A-AAYU-01	2.1327
Primary Tumor	TCGA-4L-AA1F-01	1.2012
Primary Tumor	TCGA-CH-5737-01	0.8457
Primary Tumor	TCGA-CH-5738-01	3.2189
Primary Tumor	TCGA-CH-5739-01	2.1944
Primary Tumor	TCGA-CH-5740-01	0
Primary Tumor	TCGA-CH-5741-01	0
Primary Tumor	TCGA-CH-5743-01	2.3624
Primary Tumor	TCGA-CH-5744-01	0.5482
Primary Tumor	TCGA-CH-5745-01	3.3925
Primary Tumor	TCGA-CH-5746-01	1.2271
Primary Tumor	TCGA-CH-5748-01	0.875
Primary Tumor	TCGA-CH-5750-01	2.4619
Primary Tumor	TCGA-CH-5751-01	0.6033
Primary Tumor	TCGA-CH-5752-01	0.4032
Primary Tumor	TCGA-CH-5753-01	0.9428
Primary Tumor	TCGA-CH-5754-01	0.7254
Primary Tumor	TCGA-CH-5761-01	0
Solid Tissue Normal	TCGA-CH-5761-11	1.2472
Primary Tumor	TCGA-CH-5762-01	1.9888
Primary Tumor	TCGA-CH-5763-01	2.4872
Primary Tumor	TCGA-CH-5764-01	1.7848
Primary Tumor	TCGA-CH-5765-01	0.4329
Primary Tumor	TCGA-CH-5766-01	3.2148
Primary Tumor	TCGA-CH-5767-01	0
Solid Tissue Normal	TCGA-CH-5767-11	1.7153
Primary Tumor	TCGA-CH-5768-01	1.008
Solid Tissue Normal	TCGA-CH-5768-11	1.2717
Primary Tumor	TCGA-CH-5769-01	0
Solid Tissue Normal	TCGA-CH-5769-11	2.02
Primary Tumor	TCGA-CH-5771-01	1.1096
Primary Tumor	TCGA-CH-5772-01	0.8404
Primary Tumor	TCGA-CH-5788-01	0
Primary Tumor	TCGA-CH-5789-01	4.0561
Primary Tumor	TCGA-CH-5790-01	0
Primary Tumor	TCGA-CH-5791-01	1.0975
Primary Tumor	TCGA-CH-5792-01	0.5993
Primary Tumor	TCGA-CH-5794-01	0.3885
Primary Tumor	TCGA-EJ-5494-01	4.7535
Primary Tumor	TCGA-EJ-5495-01	3.237
Primary Tumor	TCGA-EJ-5496-01	0.9693
Primary Tumor	TCGA-EJ-5497-01	3.1146
Primary Tumor	TCGA-EJ-5498-01	1.8795
Primary Tumor	TCGA-EJ-5499-01	1.6293
Primary Tumor	TCGA-EJ-5501-01	1.388
Primary Tumor	TCGA-EJ-5502-01	0.9491
Primary Tumor	TCGA-EJ-5503-01	2.1128
Primary Tumor	TCGA-EJ-5504-01	0.5287
Primary Tumor	TCGA-EJ-5505-01	3.1468
Primary Tumor	TCGA-EJ-5506-01	2.0721
Primary Tumor	TCGA-EJ-5507-01	0
Primary Tumor	TCGA-EJ-5508-01	1.0113
Primary Tumor	TCGA-EJ-5509-01	1.9182
Primary Tumor	TCGA-EJ-5510-01	2.837
Primary Tumor	TCGA-EJ-5511-01	0.3059
Primary Tumor	TCGA-EJ-5512-01	1.093
Primary Tumor	TCGA-EJ-5514-01	0.4174
Primary Tumor	TCGA-EJ-5515-01	3.0704
Primary Tumor	TCGA-EJ-5516-01	0.8889
Primary Tumor	TCGA-EJ-5517-01	2.1582
Primary Tumor	TCGA-EJ-5518-01	2.2721
Primary Tumor	TCGA-EJ-5519-01	0
Primary Tumor	TCGA-EJ-5521-01	2.5681
Primary Tumor	TCGA-EJ-5522-01	3.4667
Primary Tumor	TCGA-EJ-5524-01	0
Primary Tumor	TCGA-EJ-5525-01	0
Primary Tumor	TCGA-EJ-5526-01	2.3282
Primary Tumor	TCGA-EJ-5527-01	2.1774
Primary Tumor	TCGA-EJ-5530-01	0.8646
Primary Tumor	TCGA-EJ-5531-01	3.9311
Primary Tumor	TCGA-EJ-5532-01	0
Primary Tumor	TCGA-EJ-5542-01	0.6975
Primary Tumor	TCGA-EJ-7115-01	2.0476
Solid Tissue Normal	TCGA-EJ-7115-11	2.9179
Primary Tumor	TCGA-EJ-7123-01	0
Solid Tissue Normal	TCGA-EJ-7123-11	5.2956
Primary Tumor	TCGA-EJ-7125-01	1.1647
Solid Tissue Normal	TCGA-EJ-7125-11	0.452
Primary Tumor	TCGA-EJ-7218-01	0
Primary Tumor	TCGA-EJ-7312-01	3.3564
Primary Tumor	TCGA-EJ-7314-01	1.5865
Solid Tissue Normal	TCGA-EJ-7314-11	1.4678
Primary Tumor	TCGA-EJ-7315-01	1.1084
Solid Tissue Normal	TCGA-EJ-7315-11	2.9547
Primary Tumor	TCGA-EJ-7317-01	0
Solid Tissue Normal	TCGA-EJ-7317-11	1.2771
Primary Tumor	TCGA-EJ-7318-01	2.6908
Primary Tumor	TCGA-EJ-7321-01	0.5098
Solid Tissue Normal	TCGA-EJ-7321-11	1.8885
Primary Tumor	TCGA-EJ-7325-01	0
Primary Tumor	TCGA-EJ-7327-01	0.6845
Solid Tissue Normal	TCGA-EJ-7327-11	0
Primary Tumor	TCGA-EJ-7328-01	1.7751
Solid Tissue Normal	TCGA-EJ-7328-11	2.7346
Primary Tumor	TCGA-EJ-7330-01	3.0231
Solid Tissue Normal	TCGA-EJ-7330-11	5.0445
Primary Tumor	TCGA-EJ-7331-01	1.9153
Solid Tissue Normal	TCGA-EJ-7331-11	2.6849
Primary Tumor	TCGA-EJ-7781-01	1.2064
Solid Tissue Normal	TCGA-EJ-7781-11	3.4307
Primary Tumor	TCGA-EJ-7782-01	1.1289
Solid Tissue Normal	TCGA-EJ-7782-11	4.3646
Primary Tumor	TCGA-EJ-7783-01	1.3368
Solid Tissue Normal	TCGA-EJ-7783-11	4.9373
Primary Tumor	TCGA-EJ-7784-01	0.3889
Solid Tissue Normal	TCGA-EJ-7784-11	3.1639
Primary Tumor	TCGA-EJ-7785-01	2.2042
Solid Tissue Normal	TCGA-EJ-7785-11	0
Primary Tumor	TCGA-EJ-7786-01	2.2967
Solid Tissue Normal	TCGA-EJ-7786-11	2.7857
Primary Tumor	TCGA-EJ-7788-01	0.7401
Primary Tumor	TCGA-EJ-7789-01	2.3909
Solid Tissue Normal	TCGA-EJ-7789-11	4.5695
Primary Tumor	TCGA-EJ-7791-01	3.1114
Primary Tumor	TCGA-EJ-7792-01	2.0946
Solid Tissue Normal	TCGA-EJ-7792-11	3.0423
Primary Tumor	TCGA-EJ-7793-01	1.1263
Solid Tissue Normal	TCGA-EJ-7793-11	1.7906
Primary Tumor	TCGA-EJ-7794-01	3.3774
Solid Tissue Normal	TCGA-EJ-7794-11	4.9774
Primary Tumor	TCGA-EJ-7797-01	2.812
Solid Tissue Normal	TCGA-EJ-7797-11	3.1125
Primary Tumor	TCGA-EJ-8468-01	3.1188
Primary Tumor	TCGA-EJ-8469-01	0
Primary Tumor	TCGA-EJ-8470-01	0.7085
Primary Tumor	TCGA-EJ-8472-01	1.2358
Primary Tumor	TCGA-EJ-8474-01	3.07
Primary Tumor	TCGA-EJ-A46B-01	2.5883
Primary Tumor	TCGA-EJ-A46D-01	1.4585
Primary Tumor	TCGA-EJ-A46E-01	0.65
Primary Tumor	TCGA-EJ-A46F-01	0
Primary Tumor	TCGA-EJ-A46G-01	0
Primary Tumor	TCGA-EJ-A46H-01	1.7575
Primary Tumor	TCGA-EJ-A46I-01	0
Primary Tumor	TCGA-EJ-A65B-01	3.3404
Primary Tumor	TCGA-EJ-A65D-01	0
Primary Tumor	TCGA-EJ-A65E-01	0.9573
Primary Tumor	TCGA-EJ-A65F-01	5.0635
Primary Tumor	TCGA-EJ-A65G-01	3.5138
Primary Tumor	TCGA-EJ-A65J-01	0
Primary Tumor	TCGA-EJ-A65M-01	3.2092
Primary Tumor	TCGA-EJ-A6RA-01	3.466
Primary Tumor	TCGA-EJ-A6RC-01	5.3737
Primary Tumor	TCGA-EJ-A7NF-01	0.9785
Primary Tumor	TCGA-EJ-A7NG-01	1.5905
Primary Tumor	TCGA-EJ-A7NH-01	1.9354
Primary Tumor	TCGA-EJ-A7NJ-01	0.4876
Primary Tumor	TCGA-EJ-A7NK-01	1.0921
Primary Tumor	TCGA-EJ-A7NM-01	0.474
Primary Tumor	TCGA-EJ-A7NN-01	3.1231
Primary Tumor	TCGA-EJ-A8FN-01	0.5816
Primary Tumor	TCGA-EJ-A8FO-01	1.8572
