sample_type	sampleID	CXCL12
Primary Tumor	TCGA-2A-A8VL-01	9.206
Primary Tumor	TCGA-2A-A8VO-01	8.8894
Primary Tumor	TCGA-2A-A8VT-01	8.0173
Primary Tumor	TCGA-2A-A8VV-01	8.4923
Primary Tumor	TCGA-2A-A8VX-01	7.5884
Primary Tumor	TCGA-2A-A8W1-01	6.8897
Primary Tumor	TCGA-2A-A8W3-01	12.7693
Primary Tumor	TCGA-2A-AAYF-01	9.2326
Primary Tumor	TCGA-2A-AAYO-01	9.7897
Primary Tumor	TCGA-2A-AAYU-01	8.6086
Primary Tumor	TCGA-4L-AA1F-01	11.4423
Primary Tumor	TCGA-CH-5737-01	8.1354
Primary Tumor	TCGA-CH-5738-01	9.6644
Primary Tumor	TCGA-CH-5739-01	9.8435
Primary Tumor	TCGA-CH-5740-01	8.4652
Primary Tumor	TCGA-CH-5741-01	7.8057
Primary Tumor	TCGA-CH-5743-01	8.9632
Primary Tumor	TCGA-CH-5744-01	7.4856
Primary Tumor	TCGA-CH-5745-01	9.3623
Primary Tumor	TCGA-CH-5746-01	8.936
Primary Tumor	TCGA-CH-5748-01	8.2625
Primary Tumor	TCGA-CH-5750-01	9.0055
Primary Tumor	TCGA-CH-5751-01	10.5276
Primary Tumor	TCGA-CH-5752-01	8.4086
Primary Tumor	TCGA-CH-5753-01	9.1171
Primary Tumor	TCGA-CH-5754-01	9.1034
Primary Tumor	TCGA-CH-5761-01	10.014
Solid Tissue Normal	TCGA-CH-5761-11	8.1659
Primary Tumor	TCGA-CH-5762-01	9.0404
Primary Tumor	TCGA-CH-5763-01	11.151
Primary Tumor	TCGA-CH-5764-01	8.6188
Primary Tumor	TCGA-CH-5765-01	8.0141
Primary Tumor	TCGA-CH-5766-01	8.6941
Primary Tumor	TCGA-CH-5767-01	10.4394
Solid Tissue Normal	TCGA-CH-5767-11	9.0582
Primary Tumor	TCGA-CH-5768-01	8.0346
Solid Tissue Normal	TCGA-CH-5768-11	9.4579
Primary Tumor	TCGA-CH-5769-01	7.5403
Solid Tissue Normal	TCGA-CH-5769-11	7.408
Primary Tumor	TCGA-CH-5771-01	9.5697
Primary Tumor	TCGA-CH-5772-01	9.0013
Primary Tumor	TCGA-CH-5788-01	6.6416
Primary Tumor	TCGA-CH-5789-01	9.2522
Primary Tumor	TCGA-CH-5790-01	7.3352
Primary Tumor	TCGA-CH-5791-01	7.8638
Primary Tumor	TCGA-CH-5792-01	9.1942
Primary Tumor	TCGA-CH-5794-01	7.1042
Primary Tumor	TCGA-EJ-5494-01	9.5115
Primary Tumor	TCGA-EJ-5495-01	9.8737
Primary Tumor	TCGA-EJ-5496-01	8.6367
Primary Tumor	TCGA-EJ-5497-01	9.5623
Primary Tumor	TCGA-EJ-5498-01	9.9795
Primary Tumor	TCGA-EJ-5499-01	8.2866
Primary Tumor	TCGA-EJ-5501-01	8.4714
Primary Tumor	TCGA-EJ-5502-01	9.2225
Primary Tumor	TCGA-EJ-5503-01	9.4156
Primary Tumor	TCGA-EJ-5504-01	9.5858
Primary Tumor	TCGA-EJ-5505-01	8.5925
Primary Tumor	TCGA-EJ-5506-01	8.752
Primary Tumor	TCGA-EJ-5507-01	7.9244
Primary Tumor	TCGA-EJ-5508-01	9.3601
Primary Tumor	TCGA-EJ-5509-01	10.0187
Primary Tumor	TCGA-EJ-5510-01	8.7885
Primary Tumor	TCGA-EJ-5511-01	8.4825
Primary Tumor	TCGA-EJ-5512-01	8.9969
Primary Tumor	TCGA-EJ-5514-01	9.2244
Primary Tumor	TCGA-EJ-5515-01	9.2842
Primary Tumor	TCGA-EJ-5516-01	9.1665
Primary Tumor	TCGA-EJ-5517-01	9.7644
Primary Tumor	TCGA-EJ-5518-01	8.8712
Primary Tumor	TCGA-EJ-5519-01	10.4972
Primary Tumor	TCGA-EJ-5521-01	8.4059
Primary Tumor	TCGA-EJ-5522-01	9.2661
