sample_type	sampleID	GYS2
Primary Tumor	TCGA-2A-A8VL-01	1.0214
Primary Tumor	TCGA-2A-A8VO-01	0
Primary Tumor	TCGA-2A-A8VT-01	1.0724
Primary Tumor	TCGA-2A-A8VV-01	1.2702
Primary Tumor	TCGA-2A-A8VX-01	0
Primary Tumor	TCGA-2A-A8W1-01	0.558
Primary Tumor	TCGA-2A-A8W3-01	0
Primary Tumor	TCGA-2A-AAYF-01	0
Primary Tumor	TCGA-2A-AAYO-01	0
Primary Tumor	TCGA-2A-AAYU-01	0
Primary Tumor	TCGA-4L-AA1F-01	0.5191
Primary Tumor	TCGA-CH-5737-01	0
Primary Tumor	TCGA-CH-5738-01	0
Primary Tumor	TCGA-CH-5739-01	0
Primary Tumor	TCGA-CH-5740-01	1.5069
Primary Tumor	TCGA-CH-5741-01	0
Primary Tumor	TCGA-CH-5743-01	1.4467
Primary Tumor	TCGA-CH-5744-01	0.3001
Primary Tumor	TCGA-CH-5745-01	1.1293
Primary Tumor	TCGA-CH-5746-01	0.4171
Primary Tumor	TCGA-CH-5748-01	1.4158
Primary Tumor	TCGA-CH-5750-01	0
Primary Tumor	TCGA-CH-5751-01	0.6033
Primary Tumor	TCGA-CH-5752-01	0.4032
Primary Tumor	TCGA-CH-5753-01	0.5472
Primary Tumor	TCGA-CH-5754-01	0
Primary Tumor	TCGA-CH-5761-01	0
Solid Tissue Normal	TCGA-CH-5761-11	0
Primary Tumor	TCGA-CH-5762-01	0.5102
Primary Tumor	TCGA-CH-5763-01	0.9421
Primary Tumor	TCGA-CH-5764-01	0
Primary Tumor	TCGA-CH-5765-01	0
Primary Tumor	TCGA-CH-5766-01	0
Primary Tumor	TCGA-CH-5767-01	0
Solid Tissue Normal	TCGA-CH-5767-11	0
Primary Tumor	TCGA-CH-5768-01	0.419
Solid Tissue Normal	TCGA-CH-5768-11	0.7716
Primary Tumor	TCGA-CH-5769-01	0.9613
Solid Tissue Normal	TCGA-CH-5769-11	0.4668
Primary Tumor	TCGA-CH-5771-01	0
Primary Tumor	TCGA-CH-5772-01	0
Primary Tumor	TCGA-CH-5788-01	0
Primary Tumor	TCGA-CH-5789-01	0.5458
Primary Tumor	TCGA-CH-5790-01	0
Primary Tumor	TCGA-CH-5791-01	0
Primary Tumor	TCGA-CH-5792-01	0.5993
Primary Tumor	TCGA-CH-5794-01	0.6942
Primary Tumor	TCGA-EJ-5494-01	0.485
Primary Tumor	TCGA-EJ-5495-01	0.98
Primary Tumor	TCGA-EJ-5496-01	0
Primary Tumor	TCGA-EJ-5497-01	0.5116
