sample_type	sampleID	IGFALS
Primary Tumor	TCGA-2A-A8VL-01	2.8438
Primary Tumor	TCGA-2A-A8VO-01	2.6592
Primary Tumor	TCGA-2A-A8VT-01	4.1921
Primary Tumor	TCGA-2A-A8VV-01	0
Primary Tumor	TCGA-2A-A8VX-01	4.2199
Primary Tumor	TCGA-2A-A8W1-01	2.3923
Primary Tumor	TCGA-2A-A8W3-01	3.5898
Primary Tumor	TCGA-2A-AAYF-01	2.7954
Primary Tumor	TCGA-2A-AAYO-01	2.8664
Primary Tumor	TCGA-2A-AAYU-01	1.6397
Primary Tumor	TCGA-4L-AA1F-01	1.2012
Primary Tumor	TCGA-CH-5737-01	3.7818
Primary Tumor	TCGA-CH-5738-01	2.1124
Primary Tumor	TCGA-CH-5739-01	2.8796
Primary Tumor	TCGA-CH-5740-01	2.8359
Primary Tumor	TCGA-CH-5741-01	2.4903
Primary Tumor	TCGA-CH-5743-01	2.7799
Primary Tumor	TCGA-CH-5744-01	3.1472
Primary Tumor	TCGA-CH-5745-01	1.915
Primary Tumor	TCGA-CH-5746-01	2.6699
Primary Tumor	TCGA-CH-5748-01	1.6253
Primary Tumor	TCGA-CH-5750-01	1.4282
Primary Tumor	TCGA-CH-5751-01	2.3656
Primary Tumor	TCGA-CH-5752-01	2.1846
Primary Tumor	TCGA-CH-5753-01	1.9134
Primary Tumor	TCGA-CH-5754-01	2.6881
Primary Tumor	TCGA-CH-5761-01	3.0226
Solid Tissue Normal	TCGA-CH-5761-11	3.2781
Primary Tumor	TCGA-CH-5762-01	2.39
Primary Tumor	TCGA-CH-5763-01	1.5073
Primary Tumor	TCGA-CH-5764-01	1.3953
Primary Tumor	TCGA-CH-5765-01	3.385
Primary Tumor	TCGA-CH-5766-01	4.1063
Primary Tumor	TCGA-CH-5767-01	1.0871
Solid Tissue Normal	TCGA-CH-5767-11	2.7731
Primary Tumor	TCGA-CH-5768-01	2.9525
Solid Tissue Normal	TCGA-CH-5768-11	2.573
Primary Tumor	TCGA-CH-5769-01	2.3955
Solid Tissue Normal	TCGA-CH-5769-11	3.2332
Primary Tumor	TCGA-CH-5771-01	3.3265
Primary Tumor	TCGA-CH-5772-01	0.8404
Primary Tumor	TCGA-CH-5788-01	0.7837
Primary Tumor	TCGA-CH-5789-01	1.2507
Primary Tumor	TCGA-CH-5790-01	2.5597
Primary Tumor	TCGA-CH-5791-01	4.2658
Primary Tumor	TCGA-CH-5792-01	2.5589
Primary Tumor	TCGA-CH-5794-01	2.0322
Primary Tumor	TCGA-EJ-5494-01	4.2766
Primary Tumor	TCGA-EJ-5495-01	2.2899
Primary Tumor	TCGA-EJ-5496-01	1.5438
Primary Tumor	TCGA-EJ-5497-01	2.2722
Primary Tumor	TCGA-EJ-5498-01	1.0509
Primary Tumor	TCGA-EJ-5499-01	1.2605
Primary Tumor	TCGA-EJ-5501-01	3.1083
Primary Tumor	TCGA-EJ-5502-01	2.6671
Primary Tumor	TCGA-EJ-5503-01	3.2911
Primary Tumor	TCGA-EJ-5504-01	0.9147
Primary Tumor	TCGA-EJ-5505-01	2.1926
Primary Tumor	TCGA-EJ-5506-01	3.3182
Primary Tumor	TCGA-EJ-5507-01	2.5567
Primary Tumor	TCGA-EJ-5508-01	1.3355
