sample_type	sampleID	PPP1R1A
Primary Tumor	TCGA-2A-A8VL-01	6.0642
Primary Tumor	TCGA-2A-A8VO-01	4.6776
Primary Tumor	TCGA-2A-A8VT-01	3.184
Primary Tumor	TCGA-2A-A8VV-01	6.2714
Primary Tumor	TCGA-2A-A8VX-01	4.0979
Primary Tumor	TCGA-2A-A8W1-01	2.1061
Primary Tumor	TCGA-2A-A8W3-01	4.3376
Primary Tumor	TCGA-2A-AAYF-01	3.9075
Primary Tumor	TCGA-2A-AAYO-01	4.4918
Primary Tumor	TCGA-2A-AAYU-01	4.5761
Primary Tumor	TCGA-4L-AA1F-01	2.8203
Primary Tumor	TCGA-CH-5737-01	4.181
Primary Tumor	TCGA-CH-5738-01	4.3655
Primary Tumor	TCGA-CH-5739-01	3.7781
Primary Tumor	TCGA-CH-5740-01	2.8359
Primary Tumor	TCGA-CH-5741-01	1.3447
Primary Tumor	TCGA-CH-5743-01	6.179
Primary Tumor	TCGA-CH-5744-01	4.4618
Primary Tumor	TCGA-CH-5745-01	4.8436
Primary Tumor	TCGA-CH-5746-01	3.1772
Primary Tumor	TCGA-CH-5748-01	4.0382
Primary Tumor	TCGA-CH-5750-01	3.8608
Primary Tumor	TCGA-CH-5751-01	1.0274
Primary Tumor	TCGA-CH-5752-01	2.8968
Primary Tumor	TCGA-CH-5753-01	2.08
Primary Tumor	TCGA-CH-5754-01	4.169
Primary Tumor	TCGA-CH-5761-01	2.3426
Solid Tissue Normal	TCGA-CH-5761-11	6.1877
Primary Tumor	TCGA-CH-5762-01	5.9461
Primary Tumor	TCGA-CH-5763-01	4.9729
Primary Tumor	TCGA-CH-5764-01	3.8932
Primary Tumor	TCGA-CH-5765-01	4.548
Primary Tumor	TCGA-CH-5766-01	4.5718
Primary Tumor	TCGA-CH-5767-01	5.2939
Solid Tissue Normal	TCGA-CH-5767-11	6.2547
Primary Tumor	TCGA-CH-5768-01	4.3129
Solid Tissue Normal	TCGA-CH-5768-11	5.0976
Primary Tumor	TCGA-CH-5769-01	4.0554
Solid Tissue Normal	TCGA-CH-5769-11	3.9907
Primary Tumor	TCGA-CH-5771-01	5.9138
Primary Tumor	TCGA-CH-5772-01	5.1927
Primary Tumor	TCGA-CH-5788-01	1.9583
Primary Tumor	TCGA-CH-5789-01	4.1337
Primary Tumor	TCGA-CH-5790-01	2.8041
Primary Tumor	TCGA-CH-5791-01	3.2552
Primary Tumor	TCGA-CH-5792-01	4.874
Primary Tumor	TCGA-CH-5794-01	4.632
Primary Tumor	TCGA-EJ-5494-01	5.2389
Primary Tumor	TCGA-EJ-5495-01	5.2707
Primary Tumor	TCGA-EJ-5496-01	5.149
Primary Tumor	TCGA-EJ-5497-01	4.8834
Primary Tumor	TCGA-EJ-5498-01	7.4393
Primary Tumor	TCGA-EJ-5499-01	4.9218
Primary Tumor	TCGA-EJ-5501-01	4.3011
Primary Tumor	TCGA-EJ-5502-01	6.7334
Primary Tumor	TCGA-EJ-5503-01	6.6884
Primary Tumor	TCGA-EJ-5504-01	4.8521
Primary Tumor	TCGA-EJ-5505-01	4.9206
Primary Tumor	TCGA-EJ-5506-01	4.0343
Primary Tumor	TCGA-EJ-5507-01	4.1004
Primary Tumor	TCGA-EJ-5508-01	5.607
Primary Tumor	TCGA-EJ-5509-01	5.6612
Primary Tumor	TCGA-EJ-5510-01	6.0865
