sample_type	sampleID	RELN
Primary Tumor	TCGA-2A-A8VL-01	5.2112
Primary Tumor	TCGA-2A-A8VO-01	7.9786
Primary Tumor	TCGA-2A-A8VT-01	5.2529
Primary Tumor	TCGA-2A-A8VV-01	5.4066
Primary Tumor	TCGA-2A-A8VX-01	5.7113
Primary Tumor	TCGA-2A-A8W1-01	9.5442
Primary Tumor	TCGA-2A-A8W3-01	7.3114
Primary Tumor	TCGA-2A-AAYF-01	7.0507
Primary Tumor	TCGA-2A-AAYO-01	6.2276
Primary Tumor	TCGA-2A-AAYU-01	7.7146
Primary Tumor	TCGA-4L-AA1F-01	4.0523
Primary Tumor	TCGA-CH-5737-01	5.7119
Primary Tumor	TCGA-CH-5738-01	5.0551
Primary Tumor	TCGA-CH-5739-01	6.8414
Primary Tumor	TCGA-CH-5740-01	3.9185
Primary Tumor	TCGA-CH-5741-01	3.4937
Primary Tumor	TCGA-CH-5743-01	5.0786
Primary Tumor	TCGA-CH-5744-01	3.8254
Primary Tumor	TCGA-CH-5745-01	4.9765
Primary Tumor	TCGA-CH-5746-01	6.1096
Primary Tumor	TCGA-CH-5748-01	6.4204
Primary Tumor	TCGA-CH-5750-01	9.8758
Primary Tumor	TCGA-CH-5751-01	11.5599
Primary Tumor	TCGA-CH-5752-01	5.0121
Primary Tumor	TCGA-CH-5753-01	12.0464
Primary Tumor	TCGA-CH-5754-01	4.9261
Primary Tumor	TCGA-CH-5761-01	4.8149
Solid Tissue Normal	TCGA-CH-5761-11	6.3824
Primary Tumor	TCGA-CH-5762-01	6.6104
Primary Tumor	TCGA-CH-5763-01	9.124
Primary Tumor	TCGA-CH-5764-01	7.3435
Primary Tumor	TCGA-CH-5765-01	5.0678
Primary Tumor	TCGA-CH-5766-01	5.2455
Primary Tumor	TCGA-CH-5767-01	8.6512
Solid Tissue Normal	TCGA-CH-5767-11	6.3962
Primary Tumor	TCGA-CH-5768-01	9.2765
Solid Tissue Normal	TCGA-CH-5768-11	7.9613
Primary Tumor	TCGA-CH-5769-01	5.4468
Solid Tissue Normal	TCGA-CH-5769-11	5.0811
Primary Tumor	TCGA-CH-5771-01	8.0486
Primary Tumor	TCGA-CH-5772-01	10.2758
Primary Tumor	TCGA-CH-5788-01	6.5557
Primary Tumor	TCGA-CH-5789-01	5.7268
Primary Tumor	TCGA-CH-5790-01	8.4789
